participant_id,wave_month,examination_stress,academic_pressure,homework_burden,school_climate,bullying_exposure,harsh_discipline,educational_aspirations,fear_of_failure,teacher_support,counselling_access,household_assets,food_insecurity,economic_strain,employment_pressure,financial_stress,digital_access,household_instability,internalised_stigma,community_stigma,family_stigma,school_stigma,mental_health_literacy,help_seeking_intention,help_seeking_behaviour,awareness_of_services,resilience_score,social_support,family_connectedness,peer_support,community_connectedness,religious_support,school_belonging
NEPS-GHA-0001,6,6.4,0.3,2.8,Supportive,Verbal,Never,University,5.9,0.3,Yes,6,Mild,5.1,,5.6,,Stable,4.5,2.8,8.7,7.6,3.2,Maybe,Religious,Some,15.5,19.1,6.7,1.9,1.9,16.9,12.1
NEPS-GHA-0001,12,8.1,7.3,5.4,Neutral,,Sometimes,Employment,5.8,7.0,Yes,7,Moderate,9.9,Family expects,8.7,,Some instability,4.5,8.3,1.6,3.6,13.4,No,Professional,,63.5,10.7,4.9,9.2,5.4,18.5,13.8
NEPS-GHA-0001,18,2.2,3.2,7.7,Supportive,Verbal,Never,Employment,4.0,0.7,Don't know,10,Mild,6.6,Financial need,8.8,,Stable,2.6,2.5,5.6,2.6,11.7,No,,Some,21.9,20.0,10.2,1.8,0.9,2.2,12.5
NEPS-GHA-0001,24,7.9,4.2,0.6,Neutral,Multiple,Often,Employment,9.7,8.6,Yes,3,Moderate,7.7,Self pressure,1.1,,Stable,4.5,9.5,8.8,2.6,10.0,Yes,Professional,,29.8,12.8,12.2,3.1,15.3,10.8,15.6
NEPS-GHA-0002,6,5.3,0.0,3.2,Supportive,,Sometimes,Employment,2.4,2.4,Don't know,2,,7.3,,9.8,Basic phone,Stable,6.6,9.5,1.7,5.3,12.1,Yes,Informal,,31.2,19.9,13.0,8.8,10.4,2.4,4.5
NEPS-GHA-0002,12,3.4,5.9,2.3,Supportive,,Never,University,2.3,9.1,No,2,Mild,2.8,Financial need,2.1,Basic phone,Highly unstable,9.4,5.7,4.7,7.8,16.1,Yes,Professional,Good,65.9,7.1,8.2,17.3,1.1,13.1,12.9
NEPS-GHA-0002,18,0.6,7.3,8.0,Supportive,Verbal,Rarely,Vocational,5.4,1.4,Yes,8,Severe,2.5,,4.4,Smartphone,Stable,6.5,5.4,0.1,0.9,15.1,Yes,Informal,Some,48.6,4.3,8.0,1.2,7.6,19.7,5.3
NEPS-GHA-0002,24,7.8,4.6,4.2,Hostile,Multiple,Often,Vocational,1.9,2.2,Yes,18,,7.5,,0.5,,Highly unstable,9.2,5.3,0.6,5.1,17.0,Yes,Professional,,86.2,8.1,18.8,11.4,11.6,0.8,1.6
NEPS-GHA-0003,6,6.6,5.7,3.2,Neutral,Verbal,Sometimes,Vocational,2.7,1.3,Don't know,9,Severe,3.2,,0.1,Smartphone,Stable,5.4,5.1,1.3,3.5,1.4,Yes,Religious,Some,15.8,16.7,14.1,12.2,19.7,13.1,0.2
NEPS-GHA-0003,12,8.2,3.0,6.6,Supportive,Physical,Never,University,7.4,1.6,No,19,Mild,7.2,Family expects,6.9,Shared,Highly unstable,4.9,9.1,8.5,0.9,8.5,Maybe,Professional,Good,33.4,2.6,19.6,3.2,8.8,14.1,11.2
NEPS-GHA-0003,18,1.1,9.5,6.9,Supportive,Multiple,Never,Employment,5.8,1.5,Yes,1,Moderate,3.6,,9.0,Basic phone,Highly unstable,2.5,1.0,7.8,8.8,8.1,No,Informal,Good,86.5,19.5,16.2,17.6,0.5,14.7,6.6
NEPS-GHA-0003,24,9.3,8.0,8.6,Supportive,Physical,Rarely,University,3.8,0.4,No,7,Mild,8.2,Financial need,3.5,Basic phone,Stable,0.2,1.9,3.3,8.6,19.3,Maybe,Religious,,50.9,13.6,16.9,6.6,0.6,17.5,5.2
